date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:56	76/76	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Feb%202017%2015:35:56%20GMT	http://www.astrospiritrc.com/robots.txt		(from )
21:05:57	49329/49329	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2015:35:57%20GMT	http://www.astrospiritrc.com/	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/index.html	(from )
21:05:58	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2003%20Feb%202017%2015:35:59%20GMT	http://www.astrospiritrc.com/xmlrpc.php	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/xmlrpc.php	(from http://www.astrospiritrc.com/)
21:05:59	842/842	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202016%2014:21:26%20GMT	http://www.astrospiritrc.com/wp-content/plugins/pirate-forms/css/front.css?ver=4.7.2	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/plugins/pirate-forms/css/fronte100.css	(from http://www.astrospiritrc.com/)
21:05:59	702/702	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Jul%202016%2005:20:58%20GMT	http://www.astrospiritrc.com/wp-content/plugins/sitemap/css/page-list.css?ver=4.3	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/plugins/sitemap/css/page-listd7b7.css	(from http://www.astrospiritrc.com/)
21:05:59	32082/32082	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202016%2009:45:15%20GMT	http://www.astrospiritrc.com/wp-content/plugins/svg-vector-icon-plugin/admin/css/wordpress-svg-icon-plugin-style.min.css?ver=4.7.2	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/plugins/svg-vector-icon-plugin/admin/css/wordpress-svg-icon-plugin-style.mine100.css	(from http://www.astrospiritrc.com/)
21:05:59	4645/4645	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202016%2020:26:02%20GMT	http://www.astrospiritrc.com/wp-content/plugins/popups/public/assets/css/public.css?ver=1.6.0.1	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/plugins/popups/public/assets/css/public8de3.css	(from http://www.astrospiritrc.com/)
21:06:00	90692/90692	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202016%2016:19:13%20GMT	http://www.astrospiritrc.com/wp-content/themes/zerif-lite/css/bootstrap.css?ver=4.7.2	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/themes/zerif-lite/css/bootstrape100.css	(from http://www.astrospiritrc.com/)
21:06:00	49570/49570	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2015:36:01%20GMT	http://www.astrospiritrc.com/page/2/	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/page/2/index.html	(from http://www.astrospiritrc.com/)
21:06:01	21984/21984	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202016%2016:19:13%20GMT	http://www.astrospiritrc.com/wp-content/themes/zerif-lite/css/font-awesome.min.css?ver=v1	C:/My%20Web%20Sites/asrc/www.astrospiritrc.com/wp-content/themes/zerif-lite/css/font-awesome.mind3b3.css	(from http://www.astrospiritrc.com/)
